"SettingName","Value","Id"
"windows10EndpointProtectionConfiguration localSecurityOptionsDetectApplicationInstallationsAndPromptForElevation","true","fce52c13-ef6b-4d57-8363-009b3504676b"
"windows10GeneralConfiguration internetExplorerInternetZoneIncludeLocalPathWhenUploadingFilesToServer","""disabled""","7146894a-8b3b-46e6-947f-013d5af62949"
"windows10GeneralConfiguration internetExplorerRestrictedZoneCrossSiteScriptingFilter","""enabled""","cfaee801-1630-4088-af88-0157819a631e"
"windows10EndpointProtectionConfiguration localSecurityOptionsVirtualizeFileAndRegistryWriteFailuresToPerUserLocations","true","34fb61dc-f4dd-4bb7-a084-046a83b345d3"
"windows10EndpointProtectionConfiguration remoteDesktopServicesSecureRpcCommunication","""enabled""","f86c57d2-b049-4190-b55f-050d0af3b3cc"
"windows10GeneralConfiguration defenderScheduleScanDay","""everyday""","b7bf0a81-b67c-4a9a-82a3-052251ae238d"
"windows10GeneralConfiguration defenderCloudBlockLevel","""high""","56d7d8a6-af92-441b-88a9-0558db2d672f"
"windows10GeneralConfiguration internetExplorerRestrictedZoneScriptingOfWebBrowserControls","""disabled""","2779ebf0-1247-42f5-a1e9-05a25f2764e9"
"windows10EndpointProtectionConfiguration remoteManagementClientDigestAuthentication","""enabled""","22ba8927-1268-4905-b688-064ceb8f4a02"
"windows10EndpointProtectionConfiguration networkIpV6SourceRoutingProtectionLevel","""highestProtection""","f2d3bef0-ed22-4987-9d20-081208421b1b"
"windows10EndpointProtectionConfiguration firewallProfileDomain","{""inboundConnectionsBlocked"":true,""outboundConnectionsRequired"":true,""inboundNotificationsBlocked"":true,""firewallEnabled"":""allowed""}","ef7a4024-41fd-4d15-9c3a-09b2f94e8880"
"windows10GeneralConfiguration internetExplorerCheckServerCertificateRevocation","""enabled""","02a0dea3-d15d-4235-86b5-0a0f035a14b5"
"windows10EndpointProtectionConfiguration rpcUnauthenticatedClientOptions","""authenticated""","9b64c8a7-cd2b-4da5-b29f-0adfc2a5ecb0"
"microsoftedge NativeMessagingUserLevelHosts","""disabled""","eba5973c-c481-46f0-b174-0b40f14343ab"
"windows10EndpointProtectionConfiguration credentialsUIEnumerateAdministrators","""disabled""","c479115f-956d-4d9e-8644-0baab8a8e6e3"
"windows10GeneralConfiguration internetExplorerInternetZoneDragContentFromDifferentDomainsWithinWindows","""disabled""","73147f08-b7e0-435d-9b04-0bb9278f2bb5"
"microsoftedge SitePerProcess","""enabled""","26634be9-2007-49eb-a08e-0d7490ead6fc"
"windows10EndpointProtectionConfiguration connectivityInternetDownloadForWebPublishingAndOnlineOrderingWizards","""enabled""","5c09c222-dff9-48a4-bab1-0edc84f27e4f"
"windows10EndpointProtectionConfiguration deviceGuardEnableVirtualizationBasedSecurity","true","cb3a2245-1501-44b0-bc80-100d350ae74a"
"windows10GeneralConfiguration internetExplorerInternetZoneJavaPermissions","""disableJava""","8427ac1e-cad1-4bcd-a22d-106f443041d2"
"windows10EndpointProtectionConfiguration localSecurityOptionsStandardUserElevationPromptBehavior","""automaticallyDenyElevationRequests""","e1e188cb-6b26-4c79-8192-112646fb9b13"
"windows10GeneralConfiguration internetExplorerInternetZoneLaunchApplicationsAndFilesInAnIFrame","""disable""","50c557ac-a183-4a0d-af43-11b5c494812e"
"windows10GeneralConfiguration internetExplorerLockedDownRestrictedZoneSmartScreen","""enabled""","273988bd-2c7a-4838-9c7c-11ff700ba778"
"windows10EndpointProtectionConfiguration securityGuideSmbV1Server","""disabled""","abc87444-a2c9-4c42-bfbd-120e9fcfc19a"
"windows10GeneralConfiguration internetExplorerLocalMachineZoneJavaPermissions","""disableJava""","8b7c35d9-89c3-47cb-ade0-12b00832afde"
"windows10EndpointProtectionConfiguration localSecurityOptionsClientDigitallySignCommunicationsAlways","true","2c4d7c04-5411-491c-a08f-166a1c4d2668"
"windows10GeneralConfiguration policyChangeAuditAuthenticationPolicyChange","""success""","e0e82a5a-3ee3-44b9-a6af-166e164bea1f"
"windows10EndpointProtectionConfiguration defenderOfficeAppsExecutableContentCreationOrLaunchType","""block""","e09ce2e8-e172-419b-9901-172c61fd682f"
"windows10GeneralConfiguration defenderScanRemovableDrivesDuringFullScan","true","bdf11548-3463-4c43-a552-17493f61b3c3"
"windows10EndpointProtectionConfiguration localSecurityOptionsAllowRemoteCallsToSecurityAccountsManager","""O:BAG:BAD:(A;;RC;;;BA)""","b5293a6e-daa5-454c-bfae-1809ef83c62e"
"windows10GeneralConfiguration accountLogonLogoffAuditOtherLogonLogoffEvents","""successAndFailure""","ca9d49d0-fa3d-4d5e-badf-1833a998cb61"
"microsoftedgev80diff SmartScreenPuaEnabled","""enabled""","cc2088ce-2570-409a-a0a1-1a54aad969e8"
"windows10GeneralConfiguration internetExplorerRestrictedZoneDownloadSignedActiveXControls","""disable""","075df317-a0e0-4768-b484-1b6b04f7954e"
"windows10GeneralConfiguration internetExplorerInternetZoneLessPrivilegedSites","""disable""","148c1856-a2d5-4aff-bb7b-1c2ed5362acd"
"windows10GeneralConfiguration internetExplorerIncludeAllNetworkPaths","""disabled""","11f5f632-b0fb-4445-a2b1-1cf57821bd22"
"windows10GeneralConfiguration internetExplorerTrustedZoneJavaPermissions","""highSafety""","75ac73c5-c5db-411e-8cf7-1ddb24760ea2"
"windows10GeneralConfiguration internetExplorerSecurityZonesUseOnlyMachineSettings","""enabled""","0ad6b9ee-7241-4e33-83c8-1dde24cd3dc5"
"windows10GeneralConfiguration defenderSubmitSamplesConsentType","""sendSafeSamplesAutomatically""","c47ea9af-e90b-4e39-bc6f-1e695d871061"
"windows10GeneralConfiguration internetExplorerInternetZoneLoadingOfXamlFiles","""disable""","8236f0f1-6648-40eb-bfd3-1e80d87c80d2"
"windows10EndpointProtectionConfiguration localSecurityOptionsAdministratorElevationPromptBehavior","""promptForConsentOnTheSecureDesktop""","77123d46-64d0-456c-8c5c-1e9537e439b5"
"windows10EndpointProtectionConfiguration localSecurityOptionsRestrictAnonymousAccessToNamedPipesAndShares","true","39b01b03-0202-4d78-82f6-1ea60e1ee337"
"windows10GeneralConfiguration internetExplorerRestrictedZoneJavaPermissions","""disableJava""","8ee2f637-928e-44c1-b029-1ed2bba56068"
"microsoftedge SSLVersionMin","""enabled""","3853abb4-a634-499e-b980-1fd65475eede"
"windows10EndpointProtectionConfiguration dmaGuardDeviceEnumerationPolicy","""blockAll""","fb6dbe5a-a072-41d1-9947-209f0ea9f37b"
"windows10GeneralConfiguration autoPlayForNonVolumeDevices","""enabled""","781a43e9-53ac-4bc2-a001-20d14a0b9983"
"windows10GeneralConfiguration internetExplorerRestrictedZoneAccessToDataSources","""disable""","88f3d511-8294-442f-8ef6-22055bcbc59b"
"windows10GeneralConfiguration internetExplorerRestrictedZoneProtectedMode","""enable""","65a2787d-fb1d-4184-b2d7-2463303c197c"
"windows10GeneralConfiguration detailedTrackingAuditPNPActivity","""success""","566f9c3b-6d62-412b-9067-24afd38e95de"
"windows10GeneralConfiguration internetExplorerInternetZoneDownloadUnsignedActiveXControls","""disable""","826d823e-197a-44ee-ab55-255c18226c11"
"windows10GeneralConfiguration defenderPotentiallyUnwantedAppAction","""block""","53d5df14-79e4-4145-b9ad-269b4ed78f7f"
"windows10GeneralConfiguration policyChangeAuditPolicyChange","""success""","d3e53c00-2623-431f-bef1-27e16208ad86"
"windows10GeneralConfiguration internetExplorerRestrictedZoneMetaRefresh","""disabled""","463b5c2d-164b-4839-a7ce-29c01ccfa9b3"
"windows10EndpointProtectionConfiguration securityGuideSmbV1ClientDriverStartConfiguration","""disableDriver""","e4edc841-cb8b-42df-85cc-29d1597a7093"
"windows10GeneralConfiguration internetExplorerRestrictedZoneNavigateWindowsAndFramesAcrossDifferentDomains","""disable""","a2a80bef-822f-4cfe-9861-29d44719f94b"
"windows10EndpointProtectionConfiguration localSecurityOptionsAllowAnonymousEnumerationOfSAMAccountsAndShares","true","76b5d954-27d8-4daa-badc-2aa63d72d864"
"windows10GeneralConfiguration internetExplorerInternetZoneDragAndDropOrCopyAndPasteFiles","""disable""","9e7f0d5c-0f9d-4413-8556-2adfa11867d8"
"windows10GeneralConfiguration internetExplorerUseActiveXInstallerService","""enabled""","7d61b3cf-15bf-48d5-b9b3-2cbf7ebcfe27"
"windows10GeneralConfiguration internetExplorerInternetZoneAllowOnlyApprovedDomainsToUseTdcActiveXControls","""enabled""","de0859d0-44e9-4159-b433-2e1552fe75d5"
"windows10GeneralConfiguration defenderRequireRealTimeMonitoring","true","c447c72a-409f-40e2-81f4-2f0b8d9dbf68"
"windows10GeneralConfiguration autoPlayDefaultAutoRunBehavior","""doNotExecute""","721f913c-5625-4732-a5fe-2f39231492af"
"windows10GeneralConfiguration internetExplorerEncryptionSupport","[""tls11"",""tls12""]","45ce2a03-cbcb-4ba9-b202-2f4815444819"
"windows10GeneralConfiguration edgeBlockPasswordManager","true","7a714a36-b077-4bd6-811d-2f4f799a982f"
"windows10EndpointProtectionConfiguration localSecurityOptionsDoNotAllowAnonymousEnumerationOfSAMAccounts","true","ad22689c-2c16-4d56-8a18-2f906c92ecdd"
"windows10EndpointProtectionConfiguration localSecurityOptionsMinimumSessionSecurityForNtlmSspBasedServers","""ntlmV2And128BitEncryption""","fff39f33-3b54-476d-9dd3-2f927194de13"
"windows10EndpointProtectionConfiguration defenderProcessesToExclude","[""%ProgramFiles%\\FSLogix\\Apps\\frxccd.exe"",""%ProgramFiles%\\FSLogix\\Apps\\frxccds.exe"",""%ProgramFiles%\\FSLogix\\Apps\\frxsvc.exe""]","bbecaa86-be4f-4c9f-9329-323edea53198"
"windows10EndpointProtectionConfiguration remoteDesktopServicesPromptForPasswordUponConnection","""enabled""","147c1a7e-e097-4d82-94e4-34e37f9d3ba7"
"windows10GeneralConfiguration lockScreenActivateAppsWithVoice","""disabled""","9835fb6c-5888-4602-8812-366bcc3a899e"
"windows10GeneralConfiguration internetExplorerRestrictedZoneActiveScripting","""disable""","1da14eeb-f9c9-4bda-bf25-367fd921c3d3"
"windows10EndpointProtectionConfiguration localSecurityOptionsSmartCardRemovalBehavior","""lockWorkstation""","3bc03ced-9d8e-42b0-a55d-36fc34e6821d"
"windows10GeneralConfiguration defenderScanType","""quick""","afb41e59-5a78-4296-b737-3885e9bc94b6"
"windows10GeneralConfiguration internetExplorerIntranetZoneDoNotRunAntimalwareAgainstActiveXControls","""disabled""","f7aa128a-b36f-4512-9668-38e2627a0fff"
"windows10GeneralConfiguration appManagementMSIAlwaysInstallWithElevatedPrivileges","true","ee31e860-3cbb-4dde-b339-39273c5882fd"
"windows10GeneralConfiguration internetExplorerInternetZoneScriptingOfWebBrowserControls","""disabled""","63912a08-c4a1-4ac9-a4b0-3a71ffa9b157"
"windows10GeneralConfiguration internetExplorerInternetZoneDragContentFromDifferentDomainsAcrossWindows","""disabled""","ef6697d4-bb25-444c-8df3-3c0b65799a9e"
"windows10EndpointProtectionConfiguration localSecurityOptionsBlockRemoteLogonWithBlankPassword","true","6672ef4d-5dd2-4399-ade1-3c37490b52ef"
"windows10GeneralConfiguration accountLogonAuditKerberosAuthenticationService","""none""","8bb7a120-9a1b-4c33-8419-3c4232b51a2c"
"windows10EndpointProtectionConfiguration localSecurityOptionsMachineInactivityLimit","15","5ae6bac8-3ac8-4302-a2e5-3c9c58d1fc46"
"windows10EndpointProtectionConfiguration defenderPreventCredentialStealingType","""enable""","a29cb938-493d-435f-8813-3f11244d2876"
"windows10GeneralConfiguration windowsSpotlightBlockThirdPartyNotifications","false","655ccdbf-580f-4a94-8d56-3fdb56e9cbeb"
"windows10EndpointProtectionConfiguration defenderOfficeCommunicationAppsLaunchChildProcess","""enable""","e7f56b8c-4d46-47a7-9dfc-401f0910865f"
"windows10EndpointProtectionConfiguration defenderFileExtensionsToExclude","[""%ProgramFiles%\\FSLogix\\Apps\\frxdrv.sys"",""%ProgramFiles%\\FSLogix\\Apps\\frxdrvvt.sys"",""%ProgramFiles%\\FSLogix\\Apps\\frxccd.sys"",""%TEMP%*.VHD"",""%TEMP%*.VHDX"",""%Windir%\\TEMP*.VHD"",""%Windir%\\TEMP*.VHDX"",""\\\\storageaccount.file.core.windows.net\\share**.VHD"",""\\\\storageaccount.file.core.windows.net\\share**.VHDX""]","eb786475-4f2a-4f37-ada7-40d10aa7208a"
"windows10GeneralConfiguration internetExplorerActiveXControlsInProtectedMode","""disabled""","f30c6fcc-0815-49f0-89d1-412427ac6d19"
"windows10GeneralConfiguration internetExplorerRestrictedZoneLoadingOfXamlFiles","""disable""","ef2469f4-e031-4a5a-a51b-42d84ad55c25"
"windows10GeneralConfiguration systemAuditOtherSystemEvents","""successAndFailure""","d122c20a-1c68-48a0-a27f-43941a5da4e4"
"windows10EndpointProtectionConfiguration remoteDesktopServicesPasswordSaving","""enabled""","a5ad1df6-4e4d-4063-8ecb-450aaa26e83a"
"windows10GeneralConfiguration internetExplorerRestrictedZoneAllowVBScriptToRun","""disable""","e9862712-6eb1-491a-90d1-4560ffa092f6"
"windows10GeneralConfiguration gameDvrBlocked","true","4f02aea7-4c84-4373-9ab1-472009a303e5"
"windows10GeneralConfiguration internetExplorerRestrictedZoneDragAndDropOrCopyAndPasteFiles","""disable""","bbb5b7de-d783-4179-abc9-48f5b609567f"
"windows10EndpointProtectionConfiguration remoteManagementServiceBasicAuthentication","""disabled""","4701a40c-aace-48d5-8cfb-4934113fba01"
"windows10EndpointProtectionConfiguration localSecurityOptionsUseAdminApprovalMode","true","38d0de02-6eb0-4363-aa78-49923b2fc09b"
"windows10EndpointProtectionConfiguration lanManagerAuthenticationLevel","""lmNtlmV2AndNotLmOrNtm""","a9145c5a-8671-4e64-8b06-4a4a52cd499e"
"windows10EndpointProtectionConfiguration remoteDesktopServicesDriveRedirection","""enabled""","3c4b0d69-c78c-4287-956a-4ab0f425a0a8"
"windows10GeneralConfiguration internetExplorerRestrictedZoneDoNotRunAntimalwareAgainstActiveXControls","""disabled""","36fa6c2b-10fb-4324-95f9-4aca89d50bbd"
"windows10GeneralConfiguration internetExplorerRestrictedZoneScriptInitiatedWindows","""disabled""","b0e52588-4a2c-4a8a-a97a-4bec8015a160"
"microsoftedgeExtensionInstallBlocklist ExtensionInstallBlocklistDesc","[""*""]","6878afbf-f303-4bc4-900d-4bfd3a561411"
"windows10GeneralConfiguration internetExplorerRestrictedZoneDragContentFromDifferentDomainsAcrossWindows","""disabled""","13d76a34-e3f6-48c6-bf47-4d8ffd4a9afb"
"windows10GeneralConfiguration internetExplorerRestrictedZonePopupBlocker","""enable""","4b85caa4-4723-4985-9e12-4da4b5ec67ce"
"windows10GeneralConfiguration internetExplorerLockedDownRestrictedZoneJavaPermissions","""disableJava""","a8be0ac2-2aee-43e9-be88-4deb296856e7"
"windows10GeneralConfiguration appManagementMSIAllowUserControlOverInstall","true","b9378349-3249-4c89-95df-4dfcfdec92db"
"microsoftedgeSSLVersionMin SSLVersionMin","""tls1.2""","36076eab-2280-4198-901f-4e5676690613"
"windows10EndpointProtectionConfiguration remoteHostDelegationOfNonExportableCredentials","""enabled""","9764c1e3-a930-4b13-ae64-4f5f46a68436"
"microsoftedge ExtensionInstallBlocklist","""enabled""","d9357fbb-405c-4379-b7f3-4fcc8085ff87"
"windows10EndpointProtectionConfiguration remoteManagementServiceStoringRunAsCredentials","""enabled""","b7af2244-2961-4088-bea6-4fd782b22d1a"
"windows10GeneralConfiguration internetExplorerCertificateAddressMismatchWarning","""enabled""","c0a00809-76ae-46ac-a315-50022947fa28"
"windows10EndpointProtectionConfiguration defenderEmailContentExecutionType","""block""","d04c18cc-3dc9-47f6-9b22-51fbd22971a3"
"windows10EndpointProtectionConfiguration defenderOfficeAppsOtherProcessInjectionType","""block""","8c6b9708-c148-49f9-bf02-52e128feb83c"
"windows10GeneralConfiguration systemBootStartDriverInitialization","""goodUnknownAndBadButCritical""","a91afe64-0a1d-4792-9dac-53d18a0a87c2"
"windows10GeneralConfiguration internetExplorerRestrictedZoneLogonOptions","""anonymous""","0c8c4cbd-3ecb-4a95-adb3-546523f11f63"
"windows10GeneralConfiguration internetExplorerIntranetZoneJavaPermissions","""highSafety""","c7635fd1-98ce-4a13-878a-55611f408ebc"
"windows10GeneralConfiguration internetExplorerInternetZoneUpdatesToStatusBarViaScript","""disabled""","b2f82d52-7188-425a-9cc9-583415f9f5eb"
"windows10GeneralConfiguration internetExplorerBlockOutdatedActiveXControls","""enabled""","003bd4f3-6849-44ad-8eca-59c4cb797d24"
"windows10GeneralConfiguration inkWorkspaceAccess","""enabled""","25cf8098-edb0-4ab3-a333-59fe597ea970"
"microsoftedge DefaultPluginsSetting","""enabled""","ac6586c1-e219-4b8a-b09a-5d2d324876f8"
"windows10GeneralConfiguration internetExplorerLockedDownTrustedZoneJavaPermissions","""disableJava""","17684df4-cb51-4a26-b113-5e83562e4fe9"
"windows10GeneralConfiguration internetExplorerInternetZoneDotNetFrameworkReliantComponents","""disable""","3de637ce-cf03-47e9-8628-5eacfdcc3610"
"microsoftedge SmartScreenEnabled","""enabled""","abd41d7e-9738-4961-b6b5-5edf3af25c6d"
"windows10EndpointProtectionConfiguration defenderFilesAndFoldersToExclude","null","43cbfde1-70d0-4649-9d62-61c000e07260"
"windows10GeneralConfiguration internetExplorerInternetZoneAllowOnlyApprovedDomainsToUseActiveXControls","""enabled""","e80b71bc-b20a-45c1-8188-61f79e821e73"
"windows10GeneralConfiguration objectAccessAuditFileShare","""successAndFailure""","c56c71be-df53-4780-bbfc-63a54df6b1d7"
"windows10EndpointProtectionConfiguration localSecurityOptionsMinimumSessionSecurityForNtlmSspBasedClients","""ntlmV2And128BitEncryption""","622ffde3-b905-41f2-ab8d-63fc90da49d6"
"windows10GeneralConfiguration internetExplorerUsersChangingPolicies","""disabled""","cf9ccc48-fa8d-4c7e-ae8d-647a8648e262"
"windows10EndpointProtectionConfiguration eventLogServiceApplicationLogMaximumFileSizeInKb","32768","ec418439-516a-4e0a-aeb1-651df98f24fe"
"windows10GeneralConfiguration internetExplorerInternetZoneCrossSiteScriptingFilter","""enabled""","4576dcd8-43e3-4c91-aaf1-65b76c78cd17"
"windows10GeneralConfiguration internetExplorerRestrictedZoneRunActiveXControlsAndPlugins","""disable""","50fc1e9e-f3f0-43af-848f-660c4b465746"
"windows10GeneralConfiguration internetExplorerBypassSmartScreenWarnings","""disabled""","cc58aad9-106f-4ac0-862d-6610cf40e04f"
"windows10EndpointProtectionConfiguration securityGuideStructuredExceptionHandlingOverwriteProtection","""enabled""","a0ef542c-10de-49e6-8c18-664f5d3c7dac"
"windows10GeneralConfiguration detailedTrackingAuditProcessCreation","""success""","0a05c6b9-76f8-45fa-b327-6750d9fd8c14"
"windows10GeneralConfiguration internetExplorerInternetZoneProtectedMode","""enable""","0a7ef5f6-dcbd-458d-8140-69114d6c2392"
"windows10EndpointProtectionConfiguration powerShellShellScriptBlockLogging","""enabled""","94f0d5e3-995f-4ef9-85e2-69341fdb4a7f"
"windows10EndpointProtectionConfiguration windowsConnectionManagerConnectionToNonDomainNetworks","""enabled""","988ababb-a784-43fd-b63b-6c078ef42066"
"windows10EndpointProtectionConfiguration eventLogServiceSecurityLogMaximumFileSizeInKb","196608","6cbd1ee9-185d-49c4-8933-6ccba1ebd936"
"windows10GeneralConfiguration internetExplorerTrustedZoneInitializeAndScriptActiveXControlsNotMarkedAsSafe","""disable""","9684bd52-33de-4aab-9b16-6df996e09366"
"windows10EndpointProtectionConfiguration defenderOfficeMacroCodeAllowWin32ImportsType","""block""","929e136f-3775-48b1-abf7-6ea8041ea941"
"windows10GeneralConfiguration internetExplorerRestrictedZoneUpdatesToStatusBarViaScript","""disabled""","b5638118-5b10-4d80-95a3-6ee0185999a9"
"windows10GeneralConfiguration internetExplorerRestrictedZoneCopyAndPasteViaScript","""disable""","6bb8f9d2-c4d9-47c6-b5c2-6f9c71c84be4"
"windows10GeneralConfiguration internetExplorerProcessesProtectionFromZoneElevation","""enabled""","e05033f2-9a3e-4704-beda-6fb616fb70d7"
"microsoftedge PasswordManagerEnabled","""disabled""","a05b7674-8385-4e20-84b3-6fd00b413a14"
