"SettingName","Value","Id"
"microsoftedge SitePerProcess","""enabled""","4385e846-2f28-4dd0-af52-05c728bd49eb"
"microsoftedge DefaultPluginsSetting","""enabled""","956ec279-35ea-4cdf-8731-21b610e5b4cc"
"microsoftedgeAuthSchemes AuthSchemes","[""ntlm"",""negotiate""]","b77cd2cc-bb23-4e6c-8abe-253ee11fd355"
"microsoftedgeDefaultPluginsSetting DefaultPluginsSetting","""2""","fb902b44-2076-447e-a364-345c92e43a4b"
"microsoftedgev80diff SmartScreenPuaEnabled","""enabled""","fe5e4f40-1f5c-4fa6-8f08-3ddca16629db"
"microsoftedge AuthSchemes","""enabled""","5d6d8a72-74bd-4ee6-8456-46c9adb358df"
"microsoftedgeExtensionInstallBlocklist ExtensionInstallBlocklistDesc","[""*""]","cfcb542d-42a1-4768-bdb3-5a83d645d37e"
"microsoftedge ExtensionInstallBlocklist","""enabled""","c5b2c89e-c7d4-4567-8b5b-67fed33a2122"
"microsoftedge SSLVersionMin","""enabled""","97450277-a4ad-4ce8-8099-6b8383bbea7b"
"microsoftedge NativeMessagingUserLevelHosts","""disabled""","d7a6a9d5-aca9-465b-9b4f-7b260c67d704"
"microsoftedge PasswordManagerEnabled","""disabled""","a0152083-1a51-4d7d-8a2b-86f692191bd2"
"microsoftedge PreventSmartScreenPromptOverride","""enabled""","3aea0f6b-4d78-4c94-b6f5-a8b19978b8d7"
"microsoftedgev85diff EnableSha1ForLocalAnchors","""disabled""","7413e0fe-bc88-439c-ad1c-bc5ec4dd92e5"
"microsoftedge SSLErrorOverrideAllowed","""disabled""","bc84b0c8-3072-4f3c-9e82-c2649d326716"
"microsoftedge SmartScreenEnabled","""enabled""","268c8047-f553-4672-a886-c7553d153e00"
"microsoftedgeSSLVersionMin SSLVersionMin","""tls1.2""","3fc67956-a2f2-4d41-97dc-e316ebf3649b"
"microsoftedge PreventSmartScreenPromptOverrideForFiles","""enabled""","ec2d8695-bf32-4380-a57a-fb10d0be4b99"
