#TYPE System.Management.Automation.PSCustomObject
"SettingName","Value","Id"
"windows10GeneralConfiguration passwordPreviousPasswordBlockCount","24","e2670afb-9b9f-4c5d-a7ad-000b21403d6c"
"windows10GeneralConfiguration internetExplorerBypassSmartScreenWarningsAboutUncommonFiles","""disabled""","6b36cedd-c795-4895-af16-01e5deef333c"
"windows10GeneralConfiguration policyChangeAuditOtherPolicyChangeEvents","""failure""","18b79f1b-08da-41ea-be4e-04c671580292"
"windows10EndpointProtectionConfiguration deviceGuardLocalSystemAuthorityCredentialGuardSettings","""enableWithUEFILock""","29200493-37f0-4343-9876-07bb541cc159"
"windows10EndpointProtectionConfiguration powerShellShellScriptBlockLogging","""enabled""","198fbd97-3e7c-414f-be00-084fd884da2b"
"windows10GeneralConfiguration internetExplorerLocalMachineZoneJavaPermissions","""disableJava""","9d4bf1dc-52e0-4668-b046-08bd420762ea"
"windows10GeneralConfiguration defenderRequireBehaviorMonitoring","true","e74b8cd6-ae86-4471-9b0f-0aa829976c07"
"windows10GeneralConfiguration internetExplorerRestrictedZoneAllowVBScriptToRun","""disable""","0c415f5d-d675-41b0-a11a-0cd9f4a18618"
"windows10GeneralConfiguration internetExplorerRestrictedZoneDragContentFromDifferentDomainsWithinWindows","""disabled""","161b4475-f086-4ad9-a03d-0da2821b52c1"
"windows10GeneralConfiguration internetExplorerBlockOutdatedActiveXControls","""enabled""","f07a7149-b3e6-427a-8e66-0ef60ba11875"
"windows10GeneralConfiguration defenderScanRemovableDrivesDuringFullScan","true","4963f946-01d6-4cd6-9f63-1180b10524f1"
"windows10EndpointProtectionConfiguration localSecurityOptionsUseAdminApprovalModeForAdministrators","true","79fddcbc-fe87-46de-9a67-11cf1067b696"
"windows10GeneralConfiguration internetExplorerPreventPerUserInstallationOfActiveXControls","""enabled""","c6a4760d-53ee-4efc-8c2a-13fc9557ebe0"
"windows10GeneralConfiguration internetExplorerInternetZoneNavigateWindowsAndFramesAcrossDifferentDomains","""disable""","b01fedd4-ba5d-426b-8bd3-16c91e99bfa1"
"windows10GeneralConfiguration powerRequirePasswordOnWakeWhileOnBattery","""enabled""","7e1c35a8-d756-412a-b6ee-16fde1a8c245"
